,id,current_version,folder_id,title,content_length,create_by,create_on
7464,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,102483,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7465,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,101884,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7466,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,101833,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7467,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,101791,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7469,9458155,0,3163397.0,2023-12-18 DR Co-leads meeting.docx,352436,9ae233e0-ef50-4405-9295-88eb41997ab3,2023-12-18T08:10:06
4715,9201988,0,2895630.0,23-09-06_SED-Co-leads.docx,162293,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-08T14:35:12
4714,9201988,0,2895630.0,23-09-06_SED-Co-leads.docx,161419,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-08T14:35:12
4713,9201988,0,2895630.0,23-09-06_SED-Co-leads.docx,209518,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-08T14:35:12
7470,9458155,0,3163397.0,2023-12-18 DR Co-leads meeting.docx,351926,9ae233e0-ef50-4405-9295-88eb41997ab3,2023-12-18T08:10:06
4730,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,163090,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4731,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,167436,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4732,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,167755,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4733,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,167773,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
